,Exchanges,id,Cash Ratio,Current Ratio,TT Liabilities on Equity,TT Liabilities on Asset,ST Liabilities on TT Liabilities,ST Liabilities on Equity,ST Liabilities on Asset,TT Debt on TT Liabilities,TT Debt on Equity,TT Debt on Asset,ST Debt on TT Liabilities,ST Debt on ST Liabilities,ST Debt on TT Debt,ST Debt on Equity,ST Debt on Asset,ROE,ROA,Gross Profit Margin,EBITDA Margin,Operating Profit Margin,Income Aft Tax Margin,Asset Turnover Ratio,Inflation,GDP,Industry,Industry_year
15,HOSE,S4A_2017,0.0707338769443268,1.703209633,1.341244307213613,0.5728766976949404,0.1244691317497017,0.1669435143831086,0.0713054651617255,0.8755308682502982,1.1743007928305047,0.5015712325332148,0.0,0.0,0.0,0.0,0.0,0.2542069775514937,0.1085777237207821,66.799533986,64.878980515,48.614843764,46.931244514,0.22736651,4.4,281.35,tienIch,tienIch_2017
16,HNX,DTK_2017,0.0094088910507828,0.475179252,2.559229145221141,0.7190402867590959,0.316886321818631,0.8109847105201664,0.2278540317105035,0.6384139378450729,1.6338475564485089,0.4590453409391248,0.0,0.0,0.0,0.0,0.0,0.0976887221608628,0.0274465953651863,15.613528568,31.125328674,6.067009522,6.078894492,0.431231735,4.4,281.35,tienIch,tienIch_2017
17,HOSE,GEG_2017,0.7686739338371827,4.697248139,0.4101266172353851,0.2908438236840435,0.2143977455920284,0.0879302221425513,0.0623562601172243,0.4817286565078775,0.1975697443189226,0.1401078044369283,0.0,0.0,0.0,0.0,0.0,0.1307322873918533,0.0927096090478454,57.837869705,60.816071491,44.36208985,38.824177672,0.335857251,4.4,281.35,tienIch,tienIch_2017
18,HOSE,BWE_2017,0.1469378516203867,0.861219228,2.264666721794821,0.6936900194669094,0.2291246888784595,0.5188910580446392,0.1589415098884481,0.2450344237564648,0.5549213051754361,0.169977934185685,0.0652684631433059,0.28486001863347,0.2663644648075044,0.1478113164633368,0.0452760814684552,0.0609054603717353,0.0186559503808251,36.189303211,36.237271042,12.889870063,11.499433422,0.181413327,4.4,281.35,tienIch,tienIch_2017
19,HNX,IDC_2017,0.3995494534416476,2.270672043,3.625488697511697,0.7838066277109369,0.1988015574206008,0.7207527994761109,0.1558219783055233,0.2614937203104167,0.9480425274557006,0.2049605110840946,0.0,0.0,0.0,0.0,0.0,0.1078598299776961,0.0233185803774031,16.693186027,18.014680864,12.056256882,8.982274599,0.362689635,4.4,281.35,tienIch,tienIch_2017
20,HOSE,POW_2017,0.0396223777523053,0.99348531,1.4328529696587096,0.5889599525859205,0.3886728414050701,0.5569110350329434,0.2289127382453651,0.5301948406705306,0.7596912519524961,0.3122635282226154,0.003907318200913,0.0100529745962899,0.0073695892550962,0.0055986124875797,0.0023012539423478,0.0896811560678407,0.0368625466422747,16.569017036,27.844932675,9.198640458,8.756930475,0.455970831,4.4,281.35,tienIch,tienIch_2017
21,HNX,DDG_2017,0.0444116418107384,1.125697014,1.1797239274657796,0.5412263051300108,0.6206699892403899,0.7322192373668159,0.3359229249816598,0.3793300108231607,0.4475046901739359,0.2053033801827463,0.0,0.0,0.0,0.0,0.0,0.0706788623479323,0.0324256028285682,11.856414894,14.579558915,5.395873859,4.314862297,0.826715192,4.4,281.35,tienIch,tienIch_2017
22,HOSE,TTE_2017,0.1869055140261729,0.872883155,2.526058066349633,0.7163971831481339,0.1357845016671499,0.3429995357215691,0.0972756345095192,0.8596026051116967,2.1714060944975597,0.6158168849288173,0.0,0.0,0.0,0.0,0.0,0.0557610789899181,0.0158139990722401,47.878676515,68.776610039,17.376225804,14.404800036,0.11487269,4.4,281.35,tienIch,tienIch_2017
24,HOSE,KHP_2017,0.0571533294524837,0.673160732,1.9293943274041407,0.6586325061688846,0.574457992384436,1.1083559918385018,0.378356707212907,0.5503829419810716,1.0619057261582818,0.3625000964295969,0.1276731933540379,0.2222498338374533,0.2319715667322203,0.2463319350188528,0.0840897153093545,0.0738106168285451,0.0251965452853085,5.118154581,5.692460306,0.954642993,1.178069661,2.16020481,4.4,281.35,tienIch,tienIch_2017
25,HOSE,PPC_2017,0.0210351055715649,2.291145029,0.3782224399899863,0.2744277186440495,0.7554794891264326,0.2857392957397877,0.2073245126833389,0.2445205108735674,0.0924831442501986,0.0671032059607106,0.0,0.0,0.0,0.0,0.0,0.1559260973265017,0.1131356541603264,12.679831583,11.974104229,16.073989469,13.694692512,0.682514094,4.4,281.35,tienIch,tienIch_2017
